review_id,suggested_action,action,match_status,match_tier,match_note,wiki_sourcePage,wiki_dynastySection,wiki_dyn_candidates,wiki_fief,fief_corrected,wiki_pn,pn_corrected,wiki_nt,wiki_person,wiki_personBare,wiki_startYear,wiki_endYear,wikidataId,wikiPersonUrl,norbert_person_id,norbert_nt_ind,norbert_can_name,norbert_dyn,norbert_fief,norbert_pn,norbert_nt,norbert_start_year,norbert_end_year,norbert_dyn_id,fill_notes,reviewer_notes
89,review,,wiki_only,,no Norbert match,臨江王,漢朝,東漢|西漢|漢,臨江,,,,王,共尉,共尉,,,Q5581705,https://zh.wikipedia.org/wiki/%E5%85%B1%E5%B0%89,,,,,,,,,,,,
90,link,,matched,B,full NT match,臨江王,漢朝,東漢|西漢|漢,臨江,,哀,,王,劉閼,劉閼,,,Q10900521,https://zh.wikipedia.org/wiki/%E5%8A%89%E9%96%BC%E4%BA%8E,9468,1202,劉閼,漢,臨江,哀,王,,,43,,
91,link,,matched,B,full NT match,臨江王,漢朝,東漢|西漢|漢,臨江,,閔,,王,劉榮,劉榮,,,Q3241423,https://zh.wikipedia.org/wiki/%E5%8A%89%E6%A6%AE_(%E8%87%A8%E6%B1%9F%E7%8E%8B),8941,1214,劉榮,漢,臨江,閔,王,,,43,,
92,insert_nt,,person_only,E,"person in Norbert, no matching NT row",樂安王,漢朝,東漢|西漢|漢,樂安,,夷,,王,劉寵,劉寵,93,122,Q10899678,https://zh.wikipedia.org/wiki/%E5%8A%89%E5%AF%B5_(%E6%A8%82%E5%AE%89%E7%8E%8B),8878,,劉寵,,,,,,,,,
93,review,,wiki_only,,no Norbert match,樂安王,漢朝,東漢|西漢|漢,勃海孝,,,,王,劉鴻,劉鴻,122,147,,https://zh.wikipedia.org/wiki/%E5%8A%89%E9%B4%BB,,,,,,,,,,,,
94,link,,matched,D,full NT match,樂安王,晉朝,西晉|東晉|晉,樂安平,,,,王,司馬鑒,司馬鑒,,,Q10916674,https://zh.wikipedia.org/wiki/%E5%8F%B8%E9%A6%AC%E9%91%92,8837,839,司馬鑒,晉,樂安,,王,,,51,,
95,insert_nt,,person_only,E,"person in Norbert, no matching NT row",樂安王,北魏,北魏|拓跋魏,樂安,,宣,,王,拓跋範,拓跋範,,,Q11077217,https://zh.wikipedia.org/wiki/%E6%8B%93%E8%B7%8B%E7%AF%84,15115,,拓跋範,,,,,,,,,
96,update_nt,,matched,B,Norbert row incomplete,樂成王,漢朝,東漢|西漢|漢,樂成,,靖,,王,劉黨,劉黨,72,97,Q10897146,https://zh.wikipedia.org/wiki/%E5%88%98%E5%85%9A,7154,1190,劉黨,漢,樂成,靖,王,,,46,,
97,update_nt,,matched,D,Norbert row incomplete,樂成王,漢朝,東漢|西漢|漢,樂成,,哀,,王,劉崇,劉崇,97,97,Q15888077,https://zh.wikipedia.org/wiki/%E5%8A%89%E5%B4%87,14499,2005,劉崇,漢,安眾,,侯,,,46,,
98,review,,wiki_only,,no Norbert match,樂成王,漢朝,東漢|西漢|漢,樂成,,釐,,王,劉巡,劉巡,97,112,Q10897146,https://zh.wikipedia.org/wiki/%E5%88%98%E5%85%9A,,,,,,,,,,,,
99,review,,wiki_only,,no Norbert match,樂成王,漢朝,東漢|西漢|漢,樂成,,隱,,王,劉賓,劉賓,112,120,Q85876429,https://zh.wikipedia.org/wiki/%E5%8A%89%E8%B3%93,,,,,,,,,,,,
100,update_nt,,matched,D,Norbert row incomplete,樂成王,漢朝,東漢|西漢|漢,樂成,,,,王,劉萇,劉萇,120,121,Q10897926,https://zh.wikipedia.org/wiki/%E5%88%98%E8%8B%8C,12924,1916,劉萇,漢,解犢亭,,侯,,,43,,
101,review,,wiki_only,,no Norbert match,九江王,,,項羽所封九江,,,,王,英布,英布,,,Q1069973,https://zh.wikipedia.org/wiki/%E8%8B%B1%E5%B8%83,,,,,,,,,,,,
