Variant,variant_cp,Variant_ABC,Variant_Block,Norm,norm_cp,Norm_ABC,Norm_Block,Sources
籢,(U+7C62),Z,CJK_Unified_Ideographs,奩,(U+5969),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
籨,(U+7C68),Z,CJK_Unified_Ideographs,蘞,(U+861E),B,CJK_Unified_Ideographs,NS
籭,(U+7C6D),Z,CJK_Unified_Ideographs,篩,(U+7BE9),A,CJK_Unified_Ideographs,NS
籱,(U+7C71),Z,CJK_Unified_Ideographs,罩,(U+7F69),A,CJK_Unified_Ideographs,MOE;NS;twedu
籴,(U+7C74),Z,CJK_Unified_Ideographs,糴,(U+7CF4),B,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;twedu;unihan_simplified;unihan_traditional
籵,(U+7C75),Z,CJK_Unified_Ideographs,蹯,(U+8E6F),B,CJK_Unified_Ideographs,MOE;NS;hydzd
籶,(U+7C76),Z,CJK_Unified_Ideographs,粇,(U+7C87),Z,CJK_Unified_Ideographs,NS
类,(U+7C7B),Z,CJK_Unified_Ideographs,類,(U+985E),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;twedu;unihan_simplified;unihan_traditional
籼,(U+7C7C),Z,CJK_Unified_Ideographs,秈,(U+79C8),B,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;twedu;unihan_semantic;unihan_simplified;unihan_traditional
籾,(U+7C7E),Z,CJK_Unified_Ideographs,䵑,(U+4D51),Z,CJK_Extension_A,NS
粋,(U+7C8B),Z,CJK_Unified_Ideographs,粹,(U+7CB9),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
粓,(U+7C93),Z,CJK_Unified_Ideographs,泔,(U+6CD4),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
粚,(U+7C9A),Z,CJK_Unified_Ideographs,黐,(U+9ED0),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
粛,(U+7C9B),Z,CJK_Unified_Ideographs,肅,(U+8085),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
粜,(U+7C9C),Z,CJK_Unified_Ideographs,糶,(U+7CF6),B,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;twedu;unihan_simplified;unihan_traditional
粝,(U+7C9D),Z,CJK_Unified_Ideographs,糲,(U+7CF2),B,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;twedu;unihan_simplified;unihan_traditional
粤,(U+7CA4),Z,CJK_Unified_Ideographs,粵,(U+7CB5),A,CJK_Unified_Ideographs,MOE;twedu;unihan_semantic;unihan_simplified;unihan_traditional
粪,(U+7CAA),Z,CJK_Unified_Ideographs,糞,(U+7CDE),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
粬,(U+7CAC),Z,CJK_Unified_Ideographs,曲,(U+66F2),A,CJK_Unified_Ideographs,NS
粮,(U+7CAE),Z,CJK_Unified_Ideographs,糧,(U+7CE7),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;twedu;unihan_semantic;unihan_simplified;unihan_traditional
糁,(U+7CC1),Z,CJK_Unified_Ideographs,糝,(U+7CDD),B,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
糆,(U+7CC6),Z,CJK_Unified_Ideographs,麵,(U+9EB5),A,CJK_Unified_Ideographs,MOE;NS;twedu
糛,(U+7CDB),Z,CJK_Unified_Ideographs,糖,(U+7CD6),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
糡,(U+7CE1),Z,CJK_Unified_Ideographs,鏡,(U+93E1),A,CJK_Unified_Ideographs,NS
糣,(U+7CE3),Z,CJK_Unified_Ideographs,糝,(U+7CDD),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
糤,(U+7CE4),Z,CJK_Unified_Ideographs,撒,(U+6492),A,CJK_Unified_Ideographs,NS
糥,(U+7CE5),Z,CJK_Unified_Ideographs,糯,(U+7CEF),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
糭,(U+7CED),Z,CJK_Unified_Ideographs,糉,(U+7CC9),Z,CJK_Unified_Ideographs,NS
糹,(U+7CF9),Z,CJK_Unified_Ideographs,糸,(U+7CF8),A,CJK_Unified_Ideographs,NS;unihan_semantic
糼,(U+7CFC),Z,CJK_Unified_Ideographs,功,(U+529F),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
糿,(U+7CFF),Z,CJK_Unified_Ideographs,幼,(U+5E7C),A,CJK_Unified_Ideographs,NS;twedu
紣,(U+7D23),Z,CJK_Unified_Ideographs,綷,(U+7DB7),B,CJK_Unified_Ideographs,MOE;NS;hydzd
紥,(U+7D25),Z,CJK_Unified_Ideographs,扎,(U+624E),A,CJK_Unified_Ideographs,NS
紧,(U+7D27),Z,CJK_Unified_Ideographs,緊,(U+7DCA),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
経,(U+7D4C),Z,CJK_Unified_Ideographs,經,(U+7D93),A,CJK_Unified_Ideographs,MOE;NS;twedu
絵,(U+7D75),Z,CJK_Unified_Ideographs,繪,(U+7E6A),A,CJK_Unified_Ideographs,MOE;twedu
絷,(U+7D77),Z,CJK_Unified_Ideographs,執,(U+57F7),A,CJK_Unified_Ideographs,NS
絷,(U+7D77),Z,CJK_Unified_Ideographs,縶,(U+7E36),B,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
綇,(U+7D87),Z,CJK_Unified_Ideographs,梄,(U+6884),Z,CJK_Unified_Ideographs,NS
綋,(U+7D8B),Z,CJK_Unified_Ideographs,紘,(U+7D18),B,CJK_Unified_Ideographs,MOE;NS;twedu
綕,(U+7D95),Z,CJK_Unified_Ideographs,織,(U+7E54),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
継,(U+7D99),Z,CJK_Unified_Ideographs,繼,(U+7E7C),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
綤,(U+7DA4),Z,CJK_Unified_Ideographs,紹,(U+7D39),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
綨,(U+7DA8),Z,CJK_Unified_Ideographs,綦,(U+7DA6),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
綳,(U+7DB3),Z,CJK_Unified_Ideographs,繃,(U+7E43),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
緐,(U+7DD0),Z,CJK_Unified_Ideographs,䋣,(U+42E3),Z,CJK_Extension_A,NS
緑,(U+7DD1),Z,CJK_Unified_Ideographs,綠,(U+7DA0),A,CJK_Unified_Ideographs,MOE;NS;twedu
緖,(U+7DD6),Z,CJK_Unified_Ideographs,緒,(U+7DD2),A,CJK_Unified_Ideographs,MOE;NS;twedu;unihan_zvariant
緼,(U+7DFC),Z,CJK_Unified_Ideographs,縕,(U+7E15),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
緾,(U+7DFE),Z,CJK_Unified_Ideographs,纏,(U+7E8F),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
緿,(U+7DFF),Z,CJK_Unified_Ideographs,紿,(U+7D3F),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
縀,(U+7E00),Z,CJK_Unified_Ideographs,緞,(U+7DDE),A,CJK_Unified_Ideographs,MOE;NS;twedu
縂,(U+7E02),Z,CJK_Unified_Ideographs,總,(U+7E3D),A,CJK_Unified_Ideographs,MOE;NS;twedu;unihan_semantic
縄,(U+7E04),Z,CJK_Unified_Ideographs,繩,(U+7E69),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
縇,(U+7E07),Z,CJK_Unified_Ideographs,絙,(U+7D59),C,CJK_Unified_Ideographs,NS
縘,(U+7E18),Z,CJK_Unified_Ideographs,繫,(U+7E6B),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
縦,(U+7E26),Z,CJK_Unified_Ideographs,縱,(U+7E31),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
繊,(U+7E4A),Z,CJK_Unified_Ideographs,纖,(U+7E96),A,CJK_Unified_Ideographs,NS
繋,(U+7E4B),Z,CJK_Unified_Ideographs,繫,(U+7E6B),A,CJK_Unified_Ideographs,NS
繍,(U+7E4D),Z,CJK_Unified_Ideographs,繡,(U+7E61),A,CJK_Unified_Ideographs,MOE;NS;twedu
繤,(U+7E64),Z,CJK_Unified_Ideographs,纂,(U+7E82),A,CJK_Unified_Ideographs,MOE;NS;hydzd
繱,(U+7E71),Z,CJK_Unified_Ideographs,緫,(U+7DEB),Z,CJK_Unified_Ideographs,NS
纝,(U+7E9D),Z,CJK_Unified_Ideographs,縲,(U+7E32),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
纠,(U+7EA0),Z,CJK_Unified_Ideographs,糾,(U+7CFE),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
纡,(U+7EA1),Z,CJK_Unified_Ideographs,紆,(U+7D06),B,CJK_Unified_Ideographs,cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
红,(U+7EA2),Z,CJK_Unified_Ideographs,紅,(U+7D05),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
纣,(U+7EA3),Z,CJK_Unified_Ideographs,紂,(U+7D02),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
纤,(U+7EA4),Z,CJK_Unified_Ideographs,縴,(U+7E34),B,CJK_Unified_Ideographs,cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
纤,(U+7EA4),Z,CJK_Unified_Ideographs,纖,(U+7E96),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
纥,(U+7EA5),Z,CJK_Unified_Ideographs,紇,(U+7D07),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
约,(U+7EA6),Z,CJK_Unified_Ideographs,約,(U+7D04),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
