simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
昰,,是,,,122,2669477
术,,術,,,121,24115
栁,,柳,,,118,11545
𫝊,,傳,,,115,203008
厠,(U+53A0),廁,(U+5EC1),,115,3872
将,(U+5C06),將,(U+5C07),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,113,239904
寜,,寧,,,109,55094
戸,,戶,,,109,35624
胆,(U+80C6),膽,(U+81BD),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,106,5117
拠,,據,,,105,82599
䨇,,雙,,,105,57243
偹,,備,,,104,40524
实,(U+5B9E),實,(U+5BE6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,104,411879
块,(U+5757),塊,(U+584A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,103,4684
亷,,廉,,,101,7186
佀,,似,,,101,108255
圣,(U+5723),聖,(U+8056),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,100,433783
厮,(U+53AE),廝,(U+5EDD),opencc_s2t;unihan_simplified;unihan_traditional,99,1652
濳,,潛,,,97,15552
㳒,,法,,,96,2150395
隠,,隱,,,93,77664
篱,(U+7BF1),籬,(U+7C6C),opencc_s2t;unihan_simplified;unihan_traditional,91,3243
园,(U+56ED),園,(U+5712),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,88,39546
縦,,縱,,,87,42717
点,(U+70B9),點,(U+9EDE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,86,55286
䜌,,亦,,,85,802025
㬥,,暴,,,83,15086
頥,,頤,,,82,2103
凛,(U+51DB),凜,(U+51DC),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,82,2643
厦,(U+53A6),廈,(U+5EC8),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,80,946
赶,(U+8D76),趕,(U+8D95),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,80,1315
昻,,昂,,,79,3829
对,(U+5BF9),對,(U+5C0D),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,79,217422
髪,,髮,,,78,31954
厺,,去,,,78,340511
㞢,,之,,,75,2699808
电,(U+7535),電,(U+96FB),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,73,18952
叁,(U+53C1),叄,(U+53C4),opencc_s2t;unihan_simplified;unihan_traditional,73,1474
惧,(U+60E7),懼,(U+61FC),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,73,18231
啚,,圖,,,70,62803
寍,,寧,,,70,55094
荘,U+8358,莊,U+838A,,70,86784
㤀,,忘,,,70,55087
茟,,筆,,,69,19985
㪚,,散,,,68,82306
蛊,(U+86CA),蠱,(U+8831),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,68,2557
两,(U+4E24),兩,(U+5169),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,68,145665
禄,,祿,,,67,14454
触,(U+89E6),觸,(U+89F8),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,67,105835
彦,(U+5F66),彥,(U+5F65),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,66,8673
藴,(U+85F4),蘊,(U+860A),opencc_s2t,66,76736
还,(U+8FD8),還,(U+9084),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,65,204516
㑺,(U+347A),儁,(U+5101),unihan_simplified;unihan_traditional,65,1564
円,,圓,,,64,214078
灵,(U+7075),靈,(U+9748),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,64,99676
开,(U+5F00),開,(U+958B),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,64,239029
葯,,藥,,,63,76213
𦙍,,胤,,,62,3986
䒭,,等,,,62,955332
椘,,楚,,,62,20455
畨,,番,,,62,15262
㳄,,次,,,61,351219
桺,,柳,,,61,11545
幺,(U+5E7A),麼,(U+9EBC),,60,237131
垩,(U+57A9),堊,(U+580A),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,60,418
嘱,(U+5631),囑,(U+56D1),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,59,20274
