docclass,title,author,geo,geo_latitude,geo_longitude,docclass,doc_category_l1,doc_category_l2,doc_category_l3,time_dynasty,date_not_before,date_not_after,metadata/title.hanzi,metadata/title.hanyupinyin,metadata/Name,metadata/Name.Hanyupinyin,metadata/Function,metadata/styles.hao,metadata/CourtesyName.zi,metadata/PosthumousTitle.shi,metadata/AuthorDates,metadata/TotalJuan,metadata/Genre1,metadata/Genre2,metadata/Genre3,metadata/Place,metadata/GISCode,,metadata/Notes
DZ0040,太上導引三光寶真妙經,,,,,,Dongzhen Division,Scriptures ,,Tang,618,907,太上導引三光寶真妙經,Taishang daoyin sanguang baozhen miaojing,,,,,,,,1,Dongzhen Division,Scriptures ,,,,,
DZ0041,太上修真體元妙道經,劉元瑞,,,,輯佚,Philosophy,Treatises and Essays,,,,,太上修真體元妙道經,Taishang xiuzhen tiyuan miaodao jing,劉元瑞,Liu Yuanrui,輯佚,,,,,1,Philosophy,Treatises and Essays,,,,,
DZ0042,玉清元始玄黃九光真經,,,,,,Other Popular Cults,The Cult of the Northern Dipper,,Ming,1368,1644,玉清元始玄黃九光真經,Yuqing yuanshi xuanhuang jiuguang zhenjing,,,,,,,,1,Other Popular Cults,The Cult of the Northern Dipper,,,,,
DZ0043,元始天尊說十一曜大消災神咒經,,,,,,Zhengyi,Scriptures,,,,,元始天尊說十一曜大消災神咒經,Yuanshi tianzun shuo shiyi yao da xiaozai shenzhou jing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0044,太上洞真五星祕授經,,,,,,Shangqing ,Scriptures,,,,,太上洞真五星祕授經,Taishang dongzhen wuxing bishou jing ,,,,,,,,1,Shangqing ,Scriptures,,,,,
DZ0045,玉清無上靈寶自然北斗本生真經,,,,,,Other Popular Cults,The Cult of the Northern Dipper,,,,,玉清無上靈寶自然北斗本生真經,Yuqing wushang lingbao ziran beidou bensheng zhenjing,,,,,,,,1,Other Popular Cults,The Cult of the Northern Dipper,,,,,
DZ0046,太乙元真保命長生經,,,,,,Other Popular Cults,Popular Rites,,,,,太乙元真保命長生經,Taiyi yuanzhen baoming changsheng jing,,,,,,,,1,Other Popular Cults,Popular Rites,,,,,
DZ0047,太上元始天尊證果真經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上元始天尊證果真經,Taishang yuanshi tianzun zhengguo zhenjing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0048,太上元始天尊說續命妙經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上元始天尊說續命妙經,Taishang yuanshi tianzun shuo xuming miaojing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0049,洞真太極北帝紫微神咒妙經,,,,,,Other Revealed Scriptures,-,,Eastern Jin ,317,420,洞真太極北帝紫微神咒妙經,Dongzhen taiji beidi ziwei shenzhou miaojing,,,,,,,,1,Other Revealed Scriptures,-,,,,DZTK 273,
DZ0050,太上說六甲直符保胎護命經,,,,,,The Orthodox One Way of the Heavenly Master ,Miscellaneous ,,Tang,618,907,太上說六甲直符保胎護命經,Taishang shuo liujia zhifu baotai huming miaojing ,,,,,,,,1,The Orthodox One Way of the Heavenly Master ,Miscellaneous ,,,,,
DZ0051,太上元始天尊說大雨龍王經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上元始天尊說大雨龍王經,Taishang yuanshi tianzun shuo dayu longwang jing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0052,太上護國祈雨消魔經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上護國祈雨消魔經,Taishang huguo qiyu xiaomo jing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0053,太上洞淵北帝天蓬護命消災神咒妙經,,,,,,Dongyuan and Shengxuan Scriptures and Rituals,The Dongyuan shenzhou jing,,Late Tang,764,907,太上洞淵北帝天蓬護命消災神咒妙經,Taishang dongyuan beidi tianpeng huming xiaozai shenzhou miaojing,,,,,,,,1,Dongyuan and Shengxuan Scriptures and Rituals,The Dongyuan shenzhou jing,,,,,
DZ0054,太上洞淵辭瘟神咒妙經,,,,,,Dongyuan and Shengxuan Scriptures and Rituals,The Dongyuan shenzhou jing,,Tang,618,907,太上洞淵辭瘟神咒妙經,Taishang dongyuan ciwen shenzhou miaojing ,,,,,,,,1,Dongyuan and Shengxuan Scriptures and Rituals,The Dongyuan shenzhou jing,,,,,
